Time;Simulated_Discharge
2010-11-01 00:00:00;3.0276136
2010-11-01 01:00:00;3.0014043
2010-11-01 02:00:00;2.9754217
2010-11-01 03:00:00;2.9496639
2010-11-01 04:00:00;2.9241292
2010-11-01 05:00:00;2.8988154
2010-11-01 06:00:00;2.873721
2010-11-01 07:00:00;2.8488436
2010-11-01 08:00:00;2.8241816
2010-11-01 09:00:00;2.7997334
2010-11-01 10:00:00;2.7754962
2010-11-01 11:00:00;2.7514694
2010-11-01 12:00:00;2.7276506
2010-11-01 13:00:00;2.704038
2010-11-01 14:00:00;2.6806293
2010-11-01 15:00:00;2.6574235
2010-11-01 16:00:00;2.6344187
2010-11-01 17:00:00;2.6116133
2010-11-01 18:00:00;2.5890048
2010-11-01 19:00:00;2.5665922
2010-11-01 20:00:00;2.544374
2010-11-01 21:00:00;2.5223477
2010-11-01 22:00:00;2.5005121
2010-11-01 23:00:00;2.4788659
2010-11-02 00:00:00;2.4574065
2010-11-02 01:00:00;2.4361334
2010-11-02 02:00:00;2.415044
2010-11-02 03:00:00;2.3941374
2010-11-02 04:00:00;2.3734117
2010-11-02 05:00:00;2.3528655
2010-11-02 06:00:00;2.3324971
2010-11-02 07:00:00;2.3123052
2010-11-02 08:00:00;2.2922878
2010-11-02 09:00:00;2.2724438
2010-11-02 10:00:00;2.2527719
2010-11-02 11:00:00;2.2332702
2010-11-02 12:00:00;2.2164364
2010-11-02 13:00:00;2.1979253
2010-11-02 14:00:00;2.1789067
2010-11-02 15:00:00;2.1600447
2010-11-02 16:00:00;2.1413455
2010-11-02 17:00:00;2.1228082
2010-11-02 18:00:00;2.1044314
2010-11-02 19:00:00;2.0862138
2010-11-02 20:00:00;2.0681539
2010-11-02 21:00:00;2.05025
2010-11-02 22:00:00;2.0325015
2010-11-02 23:00:00;2.0149064
2010-11-03 00:00:00;1.9974638
2010-11-03 01:00:00;2.010841
2010-11-03 02:00:00;1.9937829
2010-11-03 03:00:00;1.9765271
2010-11-03 04:00:00;1.9599165
2010-11-03 05:00:00;1.9429554
2010-11-03 06:00:00;1.9263803
2010-11-03 07:00:00;1.9097067
2010-11-03 08:00:00;1.8931746
2010-11-03 09:00:00;1.8767858
2010-11-03 10:00:00;1.8605387
2010-11-03 11:00:00;1.8444324
2010-11-03 12:00:00;1.8284657
2010-11-03 13:00:00;1.8126367
2010-11-03 14:00:00;1.8140563
2010-11-03 15:00:00;1.8175023
2010-11-03 16:00:00;1.8189158
2010-11-03 17:00:00;1.8072916
2010-11-03 18:00:00;1.7930664
2010-11-03 19:00:00;1.7775589
2010-11-03 20:00:00;1.7635485
2010-11-03 21:00:00;1.7529315
2010-11-03 22:00:00;1.7378035
2010-11-03 23:00:00;1.7227601
2010-11-04 00:00:00;1.7078464
2010-11-04 01:00:00;1.6930618
2010-11-04 02:00:00;1.6784053
2010-11-04 03:00:00;1.6722475
2010-11-04 04:00:00;1.6678531
2010-11-04 05:00:00;1.672195
2010-11-04 06:00:00;1.6808449
2010-11-04 07:00:00;1.6986703
2010-11-04 08:00:00;1.7156543
2010-11-04 09:00:00;1.7092887
2010-11-04 10:00:00;1.7278054
2010-11-04 11:00:00;1.7372994
2010-11-04 12:00:00;1.7225012
2010-11-04 13:00:00;1.7075921
2010-11-04 14:00:00;1.6928098
2010-11-04 15:00:00;1.6781554
2010-11-04 16:00:00;1.6673604
2010-11-04 17:00:00;1.6552018
2010-11-04 18:00:00;1.6408948
2010-11-04 19:00:00;1.6281835
2010-11-04 20:00:00;1.6141026
2010-11-04 21:00:00;1.6001297
2010-11-04 22:00:00;1.5862777
2010-11-04 23:00:00;1.5725455
2010-11-05 00:00:00;1.5589323
2010-11-05 01:00:00;1.5454369
2010-11-05 02:00:00;1.5320584
2010-11-05 03:00:00;1.5187956
2010-11-05 04:00:00;1.5056477
2010-11-05 05:00:00;1.4926134
2010-11-05 06:00:00;1.4796923
2010-11-05 07:00:00;1.4668828
2010-11-05 08:00:00;1.4541844
2010-11-05 09:00:00;1.4415958
2010-11-05 10:00:00;1.4291161
2010-11-05 11:00:00;1.4167446
2010-11-05 12:00:00;1.40448
2010-11-05 13:00:00;1.3923217
2010-11-05 14:00:00;1.3802686
2010-11-05 15:00:00;1.3683196
2010-11-05 16:00:00;1.3564744
2010-11-05 17:00:00;1.3447316
2010-11-05 18:00:00;1.3330904
2010-11-05 19:00:00;1.3244432
2010-11-05 20:00:00;1.3129998
2010-11-05 21:00:00;1.3016336
2010-11-05 22:00:00;1.3212689
2010-11-05 23:00:00;1.3232049
2010-11-06 00:00:00;1.3204433
2010-11-06 01:00:00;1.317735
2010-11-06 02:00:00;1.3063933
2010-11-06 03:00:00;1.2950847
2010-11-06 04:00:00;1.2838733
2010-11-06 05:00:00;1.2741612
2010-11-06 06:00:00;1.2631413
2010-11-06 07:00:00;1.2570897
2010-11-06 08:00:00;1.2462425
2010-11-06 09:00:00;1.2396628
2010-11-06 10:00:00;1.2359774
2010-11-06 11:00:00;1.2853682
2010-11-06 12:00:00;1.4018217
2010-11-06 13:00:00;2.0543451
2010-11-06 14:00:00;2.7787547
2010-11-06 15:00:00;3.0747588
2010-11-06 16:00:00;3.3943036
2010-11-06 17:00:00;3.6094222
2010-11-06 18:00:00;3.6920252
2010-11-06 19:00:00;3.6998901
2010-11-06 20:00:00;3.668925
2010-11-06 21:00:00;3.6371865
2010-11-06 22:00:00;3.6057007
2010-11-06 23:00:00;3.5744867
2010-11-07 00:00:00;3.6582048
2010-11-07 01:00:00;3.9648814
2010-11-07 02:00:00;4.360073
2010-11-07 03:00:00;4.616244
2010-11-07 04:00:00;4.8860784
2010-11-07 05:00:00;5.396956
2010-11-07 06:00:00;5.8917165
2010-11-07 07:00:00;6.3520308
2010-11-07 08:00:00;6.9049215
2010-11-07 09:00:00;7.4173775
2010-11-07 10:00:00;7.7455482
2010-11-07 11:00:00;7.9273767
2010-11-07 12:00:00;7.9336743
2010-11-07 13:00:00;7.8683844
2010-11-07 14:00:00;7.8026924
2010-11-07 15:00:00;7.7465954
2010-11-07 16:00:00;7.680044
2010-11-07 17:00:00;7.613582
2010-11-07 18:00:00;7.5476727
2010-11-07 19:00:00;7.4881544
2010-11-07 20:00:00;7.4335065
2010-11-07 21:00:00;7.5243125
2010-11-07 22:00:00;7.544874
2010-11-07 23:00:00;7.489107
2010-11-08 00:00:00;7.4280214
2010-11-08 01:00:00;7.388945
2010-11-08 02:00:00;7.4034405
2010-11-08 03:00:00;7.4446006
2010-11-08 04:00:00;7.388362
2010-11-08 05:00:00;7.324751
2010-11-08 06:00:00;7.261357
2010-11-08 07:00:00;7.20081
2010-11-08 08:00:00;7.196018
2010-11-08 09:00:00;7.1736546
2010-11-08 10:00:00;7.125131
2010-11-08 11:00:00;7.100485
2010-11-08 12:00:00;7.076879
2010-11-08 13:00:00;7.0171504
2010-11-08 14:00:00;6.956466
