changed_parameter;param_mult_by;old_param_value;new_param_value;param_bounds;old_best_obj_fct_value;new_obj_fct_value_after_change;change_of_obj_fct_new/old
snw_dth;0.8;0.0;0.0;(0.0, 0.0);0.086657035831965;0.08665703583196505;1.0000000000000004
snw_ast;0.8;-0.562849234;-0.4502793872;(-1.0, 1.0);0.086657035831965;0.09536925143584829;1.1005367368066568
snw_amt;0.8;1.36162222;1.0892977760000002;(-0.0, 2.0);0.086657035831965;0.09525641422792919;1.0992346243257047
snw_amf;0.8;0.27662156;0.221297248;(0.0, 2.0);0.086657035831965;0.09156433658050778;1.056628993842559
snw_pmf;0.8;0.185847873;0.1486782984;(0.0, 2.0);0.086657035831965;0.08698895412977936;1.0038302521500733
sl0_mse;0.8;57.8578797;46.28630376;(0.0, 100.0);0.086657035831965;0.09235377350609053;1.0657388937832117
sl1_mse;0.8;103.853247;83.0825976;(0.0, 200.0);0.086657035831965;0.09065512772378881;1.0461369564910623
sl0_fcy;1.2000000000000004;131.357984;157.62958080000004;(0.0, 200.0);0.086657035831965;0.10619715208781311;1.2254879372257548
sl0_bt0;1.2000000000000004;2.0429091;2.451490920000001;(0.0, 3.0);0.086657035831965;0.08854449666195663;1.0217808145855758
sl1_pwp;0.8;255.628438;204.5027504;(0.0, 400.0);0.086657035831965;0.08665703583196505;1.0000000000000004
sl1_fcy;1.2000000000000004;87.5973185;105.11678220000003;(0.0, 400.0);0.086657035831965;0.08937346998174611;1.0313469543898142
sl1_bt0;0.8;0.684786863;0.5478294904000001;(0.0, 4.0);0.086657035831965;0.08665703583196505;1.0000000000000004
urr_dth;0.8;1.84009711;1.4720776880000002;(0.0, 20.0);0.086657035831965;0.08671203853037224;1.000634717053026
lrr_dth;0.8;0.499030732;0.3992245856;(0.0, 5.0);0.086657035831965;0.08666805994015159;1.0001272153851184
urr_rsr;0.8;0.905547027;0.7244376216;(0.0, 1.0);0.086657035831965;0.086908859106553;1.0029059760949623
urr_tdh;0.8;24.782837;19.826269600000003;(0.0, 100.0);0.086657035831965;0.08665703583196505;1.0000000000000004
urr_tdr;0.8;0.86761976;0.694095808;(0.0, 1.0);0.086657035831965;0.08665703583196505;1.0000000000000004
urr_cst;1.2000000000000004;0.000264153101;0.0003169837212000001;(0.0, 1.0);0.086657035831965;0.08668909121885793;1.0003699109551252
urr_dro;1.2000000000000004;0.417459738;0.5009516856000003;(0.0, 1.0);0.086657035831965;0.08666276923708205;1.0000661620266837
urr_ulc;0.8;0.175061028;0.14004882240000002;(0.0, 1.0);0.086657035831965;0.0878295359020207;1.0135303505225965
lrr_tdh;0.805;4626.45386;3724.2953573;(0.0, 10000.0);0.086657035831965;0.08665879182015546;1.0000202636539963
lrr_cst;0.8;0.0100399676;0.00803197408;(0.0, 1.0);0.086657035831965;0.10262109014626164;1.1842210982758772
lrr_dro;0.8;0.999913609;0.7999308872;(0.0, 1.0);0.086657035831965;0.1671530045050904;1.928902862881366
